DATE	OPEN	HIGH	LOW	CLOSE	RETURN	DISCREPANCY	VOL_INST	VOL_IND	VOL_FOR
2012-08-21	12645	12755	12485	12500	-0.36	-0.143713168	-425429	102561	322978
2012-08-22	12445	12545	12145	12330	-1.36	0.011193467	-957337	1262642	-322297
2012-08-23	12345	12480	12220	12460	1.05	-0.031771604	423019	-416105	-35855
2012-08-24	12165	12205	12070	12120	-2.73	-0.075685248	-4646831	5616226	-1128491
2012-08-27	11980	12155	11865	12050	-0.58	-0.214889926	-297572	253448	-534319
2012-08-28	12065	12135	11905	11990	-0.5	-0.081834561	-1295347	992221	297616
2012-08-29	12005	12135	11975	12115	1.04	-0.123166314	1043911	-1219715	144630
2012-08-30	12015	12050	11655	11770	-2.85	0.035441614	-6076675	6221263	-465202
2012-08-31	11630	11840	11620	11725	-0.38	-0.008186963	818472	-751711	-10445
2012-09-03	11720	11945	11430	11795	0.6	-0.047455214	-1359609	2497564	-1211081
2012-09-04	11745	11850	11695	11725	-0.59	-0.10436857	777970	-596800	-178455
2012-09-05	11560	11575	11270	11270	-3.88	-0.009493331	-11096728	11691715	-838752
2012-09-06	11350	11480	11250	11365	0.84	0.076697583	465541	-717121	146628
2012-09-07	11845	12040	11825	12030	5.85	-0.260003847	8877243	-10441712	1911286
2012-09-10	12085	12145	11975	11975	-0.46	-0.285695015	31134	-421353	399694
2012-09-11	11890	11955	11790	11875	-0.84	-0.413274428	-73809	-371978	576384
2012-09-12	12020	12340	12005	12315	3.71	-0.183827105	8029401	-8014221	318893
2012-09-13	12280	12345	12130	12265	-0.41	-0.507077261	-846154	154275	695264
2012-09-14	12900	13170	12890	13115	6.93	0.127650348	10342213	-9647202	-396382
2012-09-17	13085	13120	12955	12980	-1.03	-0.234886123	-2767111	3217994	-425455
2012-09-18	12965	13045	12890	13015	0.27	-0.090889272	385900	-856044	514093
2012-09-19	12960	13170	12885	13050	0.27	-0.283180485	-1288097	955772	211417
2012-09-20	12910	13025	12800	12820	-1.76	-0.165793312	-3137748	3249598	-372235
2012-09-21	12955	13020	12850	12940	0.94	0.137437472	1581828	-2345793	715223
2012-09-24	12840	12950	12580	12910	-0.23	-0.28354694	-131491	-279266	446330
2012-09-25	12785	12945	12775	12815	-0.74	-0.265388237	96467	336751	-468631
2012-09-26	12585	12690	12470	12605	-1.64	-0.287863914	-1960797	2098959	-199098
2012-09-27	12450	12830	12450	12805	1.59	-0.079592983	1655217	-1467095	-226467
2012-09-28	12890	12900	12735	12800	-0.04	-0.312147588	-2018694	1468168	505605
2012-10-02	12770	12900	12765	12810	0.08	0.021784604	995719	-946612	-57695
2012-10-04	12820	12870	12600	12770	-0.31	-0.152390752	-942039	910669	49255
2012-10-05	12875	12960	12770	12785	0.12	-0.187757874	141226	-467432	318548
2012-10-08	12760	12760	12530	12580	-1.6	-0.320669515	-3785937	4131740	-353797
2012-10-09	12540	12755	12540	12610	0.24	-0.021486263	2194224	-2105466	-40722
2012-10-10	12350	12350	12110	12110	-3.97	-0.070800374	-10069426	11282344	-1520174
2012-10-11	11900	12090	11695	11915	-1.61	0.165527422	-6507389	8034281	-1876055
2012-10-12	11935	11970	11770	11835	-0.67	0.059773773	-1828126	1840036	-30325
2012-10-15	11730	11920	11675	11750	-0.72	-0.169838717	-1007469	1124357	-189675
2012-10-16	11950	11995	11855	11980	1.96	-0.035046144	986346	-780554	62141
2012-10-17	12120	12295	12090	12140	1.34	-0.253884265	2961155	-3148004	256816
2012-10-18	12235	12300	12200	12300	1.32	-0.029909751	3530070	-3613153	167613
2012-10-19	12225	12275	12025	12060	-1.95	-0.019813652	-2910975	2956943	-37041
